City: Linden, IN, X-Axis: 40.1887, Y-Axis: 86.9033
City: Strasburg, IL, X-Axis: 39.3515, Y-Axis: 88.6194
City: Russellville, IN, X-Axis: 39.8572, Y-Axis: 86.9835
City: Morris, IL, X-Axis: 41.3647, Y-Axis: 88.4261
City: Dana, IL, X-Axis: 40.9571, Y-Axis: 88.9499
City: Carlock, IL, X-Axis: 40.582, Y-Axis: 89.1326
City: Monee, IL, X-Axis: 41.4189, Y-Axis: 87.7458
City: Harristown, IL, X-Axis: 39.8427, Y-Axis: 89.0695
City: Macon, IL, X-Axis: 39.7091, Y-Axis: 89.0004
City: Channahon, IL, X-Axis: 41.4382, Y-Axis: 88.2165
City: McLean, IL, X-Axis: 40.315, Y-Axis: 89.1706
City: Streator, IL, X-Axis: 41.1248, Y-Axis: 88.8309
City: Lafayette, IN, X-Axis: 40.4106, Y-Axis: 86.8747
City: Carbon, IN, X-Axis: 39.599, Y-Axis: 87.1075
City: Crawfordsville, IN, X-Axis: 40.0388, Y-Axis: 86.8968
City: New Market, IN, X-Axis: 39.9519, Y-Axis: 86.9208
City: Lowell, IN, X-Axis: 41.2924, Y-Axis: 87.4151
City: Hidalgo, IL, X-Axis: 39.1566, Y-Axis: 88.1507
City: Seneca, IL, X-Axis: 41.3086, Y-Axis: 88.607
City: Riley, IN, X-Axis: 39.3898, Y-Axis: 87.3004
City: Staunton, IN, X-Axis: 39.4873, Y-Axis: 87.1883
City: Minooka, IL, X-Axis: 41.4548, Y-Axis: 88.2601
City: Minonk, IL, X-Axis: 40.9024, Y-Axis: 89.036
City: Danvers, IL, X-Axis: 40.5289, Y-Axis: 89.1768
City: University Park, IL, X-Axis: 41.4395, Y-Axis: 87.6973
City: Sigel, IL, X-Axis: 39.2262, Y-Axis: 88.4952
City: Yale, IL, X-Axis: 39.1209, Y-Axis: 88.0244
City: Brazil, IN, X-Axis: 39.525, Y-Axis: 87.1274
City: Shelbyville, IL, X-Axis: 39.4081, Y-Axis: 88.7997
City: Latham, IL, X-Axis: 39.9669, Y-Axis: 89.162
City: Preston Heights, IL, X-Axis: 41.4966, Y-Axis: 88.0726
City: Brookston, IN, X-Axis: 40.6012, Y-Axis: 86.8658
City: Battle Ground, IN, X-Axis: 40.5091, Y-Axis: 86.8455
City: Kangley, IL, X-Axis: 41.1466, Y-Axis: 88.8727
City: Secor, IL, X-Axis: 40.7411, Y-Axis: 89.1359
City: Montrose, IL, X-Axis: 39.1658, Y-Axis: 88.3784
City: Lake Dalecarlia, IN, X-Axis: 41.3317, Y-Axis: 87.4039
City: New Lenox, IL, X-Axis: 41.5083, Y-Axis: 87.9706
City: Frankfort, IL, X-Axis: 41.4981, Y-Axis: 87.8495
City: Rockdale, IL, X-Axis: 41.5075, Y-Axis: 88.1152
City: Moweaqua, IL, X-Axis: 39.6254, Y-Axis: 89.0177
City: Stanford, IL, X-Axis: 40.434, Y-Axis: 89.2223
City: Stewardson, IL, X-Axis: 39.2632, Y-Axis: 88.629
City: Chalmers, IN, X-Axis: 40.6626, Y-Axis: 86.8676
City: Rose Hill, IL, X-Axis: 39.104, Y-Axis: 88.1485
City: Cedar Lake, IN, X-Axis: 41.3672, Y-Axis: 87.4383
City: Richton Park, IL, X-Axis: 41.482, Y-Axis: 87.7254
City: Atlanta, IL, X-Axis: 40.2627, Y-Axis: 89.2331
City: De Motte, IN, X-Axis: 41.1981, Y-Axis: 87.1992
City: Ingalls Park, IL, X-Axis: 41.5203, Y-Axis: 88.0374
City: Knightsville, IN, X-Axis: 39.5262, Y-Axis: 87.0908
City: Crete, IL, X-Axis: 41.4559, Y-Axis: 87.6188
City: Harmony, IN, X-Axis: 39.5354, Y-Axis: 87.0739
City: Park Forest, IL, X-Axis: 41.484, Y-Axis: 87.6871
City: Congerville, IL, X-Axis: 40.6141, Y-Axis: 89.2066
City: Shorewood, IL, X-Axis: 41.5177, Y-Axis: 88.2089
City: Rutland, IL, X-Axis: 40.9839, Y-Axis: 89.0434
City: Marseilles, IL, X-Axis: 41.3278, Y-Axis: 88.7011
City: Benson, IL, X-Axis: 40.85, Y-Axis: 89.1216
City: Steger, IL, X-Axis: 41.4705, Y-Axis: 87.631
City: Joliet, IL, X-Axis: 41.533, Y-Axis: 88.1089
City: Niantic, IL, X-Axis: 39.8549, Y-Axis: 89.1655
City: Reynolds, IN, X-Axis: 40.7501, Y-Axis: 86.8737
City: Frankfort Square, IL, X-Axis: 41.5189, Y-Axis: 87.8032
City: Grand Ridge, IL, X-Axis: 41.2345, Y-Axis: 88.8326
City: Farmersburg, IN, X-Axis: 39.2533, Y-Axis: 87.3815
City: Matteson, IL, X-Axis: 41.5098, Y-Axis: 87.7393
City: Mokena, IL, X-Axis: 41.5344, Y-Axis: 87.8769
City: South Chicago Heights, IL, X-Axis: 41.4834, Y-Axis: 87.6375
City: Hutsonville, IL, X-Axis: 39.1091, Y-Axis: 87.6593
City: Dayton, IN, X-Axis: 40.3746, Y-Axis: 86.7694
City: Olympia Fields, IL, X-Axis: 41.5183, Y-Axis: 87.6927
City: Fairmont, IL, X-Axis: 41.5627, Y-Axis: 88.0623
City: Blue Mound, IL, X-Axis: 39.6997, Y-Axis: 89.1221
City: Teutopolis, IL, X-Axis: 39.1321, Y-Axis: 88.4784
City: Crest Hill, IL, X-Axis: 41.5645, Y-Axis: 88.1085
City: Lisbon, IL, X-Axis: 41.4806, Y-Axis: 88.4827
City: Darlington, IN, X-Axis: 40.1082, Y-Axis: 86.7766
City: Chicago Heights, IL, X-Axis: 41.512, Y-Axis: 87.6402
City: St. John, IN, X-Axis: 41.4482, Y-Axis: 87.4767
City: Sauk Village, IL, X-Axis: 41.4885, Y-Axis: 87.5657
City: Crystal Lawns, IL, X-Axis: 41.5696, Y-Axis: 88.1562
City: Monon, IN, X-Axis: 40.8636, Y-Axis: 86.8797
City: Wenona, IL, X-Axis: 41.0531, Y-Axis: 89.0534
City: Roanoke, IL, X-Axis: 40.7974, Y-Axis: 89.1998
City: Ford Heights, IL, X-Axis: 41.5093, Y-Axis: 87.5879
City: Flossmoor, IL, X-Axis: 41.5417, Y-Axis: 87.685
City: Lockport, IL, X-Axis: 41.5887, Y-Axis: 88.0473
City: Ladoga, IN, X-Axis: 39.9152, Y-Axis: 86.7993
City: Tinley Park, IL, X-Axis: 41.5738, Y-Axis: 87.8039
City: Shumway, IL, X-Axis: 39.1841, Y-Axis: 88.653
City: Shelburn, IN, X-Axis: 39.1795, Y-Axis: 87.3969
City: Country Club Hills, IL, X-Axis: 41.5621, Y-Axis: 87.7208
City: Goodfield, IL, X-Axis: 40.6273, Y-Axis: 89.2724
City: Armington, IL, X-Axis: 40.3391, Y-Axis: 89.3137
City: Assumption, IL, X-Axis: 39.5195, Y-Axis: 89.0491
City: Orland Hills, IL, X-Axis: 41.5887, Y-Axis: 87.8408
City: Effingham, IL, X-Axis: 39.1209, Y-Axis: 88.5459
City: Dieterich, IL, X-Axis: 39.0602, Y-Axis: 88.379
City: Mount Pulaski, IL, X-Axis: 40.0101, Y-Axis: 89.2846
City: Minier, IL, X-Axis: 40.4343, Y-Axis: 89.3128
City: Wheeler, IL, X-Axis: 39.0438, Y-Axis: 88.3173
City: Dyer, IN, X-Axis: 41.5002, Y-Axis: 87.5122
City: Crown Point, IN, X-Axis: 41.4217, Y-Axis: 87.3561
City: Center Point, IN, X-Axis: 39.4158, Y-Axis: 87.0767
City: Clarks Hill, IN, X-Axis: 40.247, Y-Axis: 86.7239
City: Homewood, IL, X-Axis: 41.558, Y-Axis: 87.6626
City: Leonore, IL, X-Axis: 41.1894, Y-Axis: 88.9814
City: Roachdale, IN, X-Axis: 39.8504, Y-Axis: 86.8004
City: Glenwood, IL, X-Axis: 41.5449, Y-Axis: 87.6121
City: Hebron, IN, X-Axis: 41.3217, Y-Axis: 87.2016
City: Illiopolis, IL, X-Axis: 39.8514, Y-Axis: 89.2471
City: Lynwood, IL, X-Axis: 41.5264, Y-Axis: 87.5482
City: Willow Hill, IL, X-Axis: 38.9973, Y-Axis: 88.0213
City: Hazel Crest, IL, X-Axis: 41.5731, Y-Axis: 87.6859
City: Oblong, IL, X-Axis: 39.0013, Y-Axis: 87.9085
City: Toluca, IL, X-Axis: 41.0034, Y-Axis: 89.1332
City: Wheatfield, IN, X-Axis: 41.1914, Y-Axis: 87.0525
City: Tower Hill, IL, X-Axis: 39.3863, Y-Axis: 88.9597
City: Orland Park, IL, X-Axis: 41.6116, Y-Axis: 87.8543
City: Schererville, IN, X-Axis: 41.4891, Y-Axis: 87.4431
City: Eureka, IL, X-Axis: 40.7156, Y-Axis: 89.2752
City: Goodings Grove, IL, X-Axis: 41.6262, Y-Axis: 87.9405
City: East Hazel Crest, IL, X-Axis: 41.5764, Y-Axis: 87.6522
City: Plainfield, IL, X-Axis: 41.6173, Y-Axis: 88.2028
City: Stoy, IL, X-Axis: 38.9969, Y-Axis: 87.8335
City: Ottawa, IL, X-Axis: 41.3471, Y-Axis: 88.8422
City: Francesville, IN, X-Axis: 40.9859, Y-Axis: 86.8839
City: Newton, IL, X-Axis: 38.9881, Y-Axis: 88.1644
City: Bainbridge, IN, X-Axis: 39.7616, Y-Axis: 86.8112
City: Oak Forest, IL, X-Axis: 41.6076, Y-Axis: 87.7506
City: Thornton, IL, X-Axis: 41.5715, Y-Axis: 87.6117
City: Merom, IN, X-Axis: 39.057, Y-Axis: 87.5666
City: Monticello, IN, X-Axis: 40.7467, Y-Axis: 86.7654
City: Robinson, IL, X-Axis: 39.0062, Y-Axis: 87.7388
City: Markham, IL, X-Axis: 41.5975, Y-Axis: 87.6916
City: Lostant, IL, X-Axis: 41.1421, Y-Axis: 89.0614
