City: Schererville, IN, X-Axis: 41.4891, Y-Axis: 87.4431
City: Goodings Grove, IL, X-Axis: 41.6262, Y-Axis: 87.9405
City: East Hazel Crest, IL, X-Axis: 41.5764, Y-Axis: 87.6522
City: Stoy, IL, X-Axis: 38.9969, Y-Axis: 87.8335
City: Francesville, IN, X-Axis: 40.9859, Y-Axis: 86.8839
City: Bainbridge, IN, X-Axis: 39.7616, Y-Axis: 86.8112
City: Oak Forest, IL, X-Axis: 41.6076, Y-Axis: 87.7506
City: Thornton, IL, X-Axis: 41.5715, Y-Axis: 87.6117
City: Merom, IN, X-Axis: 39.057, Y-Axis: 87.5666
City: Monticello, IN, X-Axis: 40.7467, Y-Axis: 86.7654
City: Robinson, IL, X-Axis: 39.0062, Y-Axis: 87.7388
City: Markham, IL, X-Axis: 41.5975, Y-Axis: 87.6916
City: Hymera, IN, X-Axis: 39.1855, Y-Axis: 87.3
City: Norway, IN, X-Axis: 40.7819, Y-Axis: 86.7678
City: Greencastle, IN, X-Axis: 39.6423, Y-Axis: 86.856
City: Winfield, IN, X-Axis: 41.4128, Y-Axis: 87.2607
City: Lansing, IL, X-Axis: 41.5658, Y-Axis: 87.5458
City: Yeoman, IN, X-Axis: 40.6681, Y-Axis: 86.7236
City: Munster, IN, X-Axis: 41.5515, Y-Axis: 87.5014
City: New Ross, IN, X-Axis: 39.9646, Y-Axis: 86.715
City: Midlothian, IL, X-Axis: 41.6264, Y-Axis: 87.7214
City: Harvey, IL, X-Axis: 41.6109, Y-Axis: 87.6519
City: Mulberry, IN, X-Axis: 40.3438, Y-Axis: 86.6661
City: Sullivan, IN, X-Axis: 39.0969, Y-Axis: 87.4064
City: South Holland, IL, X-Axis: 41.5975, Y-Axis: 87.5991
City: Colfax, IN, X-Axis: 40.1938, Y-Axis: 86.6681
City: Griffith, IN, X-Axis: 41.5308, Y-Axis: 87.4258
City: Lemont, IL, X-Axis: 41.6688, Y-Axis: 87.9888
City: Phoenix, IL, X-Axis: 41.6123, Y-Axis: 87.6305
City: Lakes of the Four Seasons, IN, X-Axis: 41.4078, Y-Axis: 87.218
City: Posen, IL, X-Axis: 41.6282, Y-Axis: 87.6857
City: Merrillville, IN, X-Axis: 41.4857, Y-Axis: 87.3354
