City: St. Elmo, IL, X-Axis: 39.0267, Y-Axis: 88.8521
City: Warrenville, IL, X-Axis: 41.8263, Y-Axis: 88.1895
City: North Aurora, IL, X-Axis: 41.8094, Y-Axis: 88.3293
City: Ohlman, IL, X-Axis: 39.345, Y-Axis: 89.2177
City: Granville, IL, X-Axis: 41.2625, Y-Axis: 89.2279
City: Wheaton, IL, X-Axis: 41.8596, Y-Axis: 88.1072
City: Mark, IL, X-Axis: 41.2656, Y-Axis: 89.2485
City: Dalzell, IL, X-Axis: 41.3562, Y-Axis: 89.1737
City: Spring Valley, IL, X-Axis: 41.3272, Y-Axis: 89.2008
City: Lacon, IL, X-Axis: 41.0239, Y-Axis: 89.4077
City: Henry, IL, X-Axis: 41.1132, Y-Axis: 89.3602
City: New Holland, IL, X-Axis: 40.1854, Y-Axis: 89.5798
City: Glen Ellyn, IL, X-Axis: 41.871, Y-Axis: 88.063
City: Batavia, IL, X-Axis: 41.8466, Y-Axis: 88.3084
City: East Peoria, IL, X-Axis: 40.6691, Y-Axis: 89.5455
City: Earlville, IL, X-Axis: 41.5886, Y-Axis: 88.9224
City: Jeisyville, IL, X-Axis: 39.5763, Y-Axis: 89.4075
City: Kincaid, IL, X-Axis: 39.5876, Y-Axis: 89.4154
City: Williamsville, IL, X-Axis: 39.9509, Y-Axis: 89.5507
City: Troy Grove, IL, X-Axis: 41.4655, Y-Axis: 89.0812
City: Winfield, IL, X-Axis: 41.8752, Y-Axis: 88.1526
City: Bulpitt, IL, X-Axis: 39.5916, Y-Axis: 89.4252
City: Olney, IL, X-Axis: 38.7305, Y-Axis: 88.0819
City: Bay View Gardens, IL, X-Axis: 40.8098, Y-Axis: 89.5191
City: Sailor Springs, IL, X-Axis: 38.7636, Y-Axis: 88.3612
City: Spaulding, IL, X-Axis: 39.8654, Y-Axis: 89.5417
City: San Jose, IL, X-Axis: 40.304, Y-Axis: 89.6048
City: Middletown, IL, X-Axis: 40.1007, Y-Axis: 89.5914
City: Riverton, IL, X-Axis: 39.8483, Y-Axis: 89.5402
City: Hopewell, IL, X-Axis: 40.9838, Y-Axis: 89.4568
City: Spring Bay, IL, X-Axis: 40.8243, Y-Axis: 89.5233
City: Hinckley, IL, X-Axis: 41.7714, Y-Axis: 88.6405
City: Sparland, IL, X-Axis: 41.0297, Y-Axis: 89.4394
City: West Chicago, IL, X-Axis: 41.8884, Y-Axis: 88.2097
City: Rome, IL, X-Axis: 40.8762, Y-Axis: 89.5094
City: Ramsey, IL, X-Axis: 39.1439, Y-Axis: 89.11
City: Iola, IL, X-Axis: 38.8337, Y-Axis: 88.6278
City: Chillicothe, IL, X-Axis: 40.9198, Y-Axis: 89.4928
City: Tovey, IL, X-Axis: 39.5886, Y-Axis: 89.4495
City: Geneva, IL, X-Axis: 41.8857, Y-Axis: 88.3118
City: Wenonah, IL, X-Axis: 39.3211, Y-Axis: 89.2894
City: Ladd, IL, X-Axis: 41.3813, Y-Axis: 89.2161
City: Brownstown, IL, X-Axis: 38.9954, Y-Axis: 88.9532
City: Louisville, IL, X-Axis: 38.7714, Y-Axis: 88.5063
